//X	Y	Z	Scalar field
4157057.66699982	671333.36809921	4774771.48699951	524136672.000000
4157057.69300079	671333.20849991	4774771.48699951	524336672.000000
4157057.73899841	671333.05210114	4774771.44300079	524536704.000000
4157057.79700089	671332.88280106	4774771.37699890	524736768.000000
4157057.89300156	671332.71960068	4774771.30300140	524936672.000000
4157057.94800186	671332.54980087	4774771.19899750	525136704.000000
4157058.02999878	671332.37699890	4774771.12599945	525336672.000000
4157058.07799911	671332.19110107	4774771.04399872	525536704.000000
4157058.15399933	671332.04710007	4774770.98500061	525736768.000000
4157058.20199966	671331.89850044	4774770.91100311	525936672.000000
4157058.24900055	671331.75720024	4774770.83699799	526136672.000000
4157058.31900024	671331.60479927	4774770.77100372	526336672.000000
4157058.38800049	671331.42230034	4774770.69699860	526536704.000000
4157058.46599960	671331.26370049	4774770.63800049	526736768.000000
4157058.56200027	671331.09300041	4774770.58000183	526936672.000000
4157058.65299988	671330.93650055	4774770.53600311	527136672.000000
4157058.76499939	671330.79829979	4774770.48500061	527336704.000000
4157058.86800003	671330.66589928	4774770.44100189	527536704.000000
4157058.97000122	671330.53359985	4774770.39800262	527736768.000000
4157059.06100082	671330.39189911	4774770.33899689	527936704.000000
4157059.15100098	671330.25020027	4774770.27999878	528136704.000000
4157059.23600006	671330.10750008	4774770.21399689	528336672.000000
4157059.33200073	671329.95179939	4774770.12599945	528536704.000000
4157059.45299911	671329.79269981	4774770.02999878	528736800.000000
4157059.55899811	671329.61630058	4774769.94999695	528936672.000000
4157059.65700150	671329.45339966	4774769.86100006	529136672.000000
4157059.74599838	671329.28919983	4774769.77999878	529336672.000000
4157059.81600189	671329.11429977	4774769.69200134	529536704.000000
4157059.88999939	671328.94759941	4774769.61000061	529736768.000000
4157059.99499893	671328.75600052	4774769.50700378	529936672.000000
4157060.09500122	671328.55629921	4774769.38200378	530136672.000000
4157060.20000076	671328.35750008	4774769.27899933	530336672.000000
4157060.28699875	671328.17799950	4774769.17500305	530536736.000000
4157060.40200043	671328.00289917	4774769.08699799	530736768.000000
4157060.50400162	671327.82579994	4774768.98400116	530936704.000000
4157060.57500076	671327.65119934	4774768.87999725	531136672.000000
4157060.65999985	671327.51600075	4774768.79900360	531336672.000000
4157060.73899841	671327.41699982	4774768.71800232	531536736.000000
4157060.82199860	671327.33370018	4774768.64499664	531736768.000000
4157060.91400146	671327.23679924	4774768.57900238	531936704.000000
4157061.00099945	671327.12439919	4774768.50499725	532136672.000000
4157061.11899948	671326.97220039	4774768.42500305	532336704.000000
4157061.24499893	671326.84359932	4774768.37400055	532536672.000000
4157061.32500076	671326.69289970	4774768.28600311	532736768.000000
4157061.40299988	671326.57880020	4774768.23400116	532936672.000000
4157061.47299957	671326.47100067	4774768.17500305	533136672.000000
4157061.54399872	671326.34840012	4774768.13200378	533336672.000000
4157061.59500122	671326.22270012	4774768.06500244	533536704.000000
4157061.68500137	671326.11800003	4774768.02899933	533736768.000000
4157061.78099823	671325.98469925	4774767.97799683	533936672.000000
4157061.86100006	671325.83390045	4774767.88899994	534136672.000000
4157061.94400024	671325.69840050	4774767.82299805	534336672.000000
4157062.00899887	671325.53770065	4774767.74900055	534536768.000000
4157062.06399918	671325.36790085	4774767.64499664	534736768.000000
4157062.12400055	671325.22870064	4774767.58599854	534936672.000000
4157062.18299866	671325.06699944	4774767.50499725	535136704.000000
4157062.25299835	671324.92189980	4774767.43900299	535336672.000000
4157062.33399963	671324.77129936	4774767.40200043	535536704.000000
4157062.41199875	671324.59770012	4774767.30599976	535736800.000000
4157062.50299835	671324.40390015	4774767.25499725	535936672.000000
4157062.59299850	671324.22489929	4774767.18900299	536136672.000000
4157062.66999817	671324.07349968	4774767.12999725	536336704.000000
4157062.73600006	671323.93540001	4774767.07800293	536536704.000000
4157062.80099869	671323.78949928	4774766.98999786	536736768.000000
4157062.91600037	671323.67399979	4774766.94599915	536936704.000000
4157063.02999878	671323.57340050	4774766.88800049	537136704.000000
4157063.15200043	671323.48889923	4774766.80799866	537336704.000000
4157063.25199890	671323.39340019	4774766.73400116	537536704.000000
4157063.36100006	671323.28440094	4774766.66899872	537736768.000000
4157063.49700165	671323.14259911	4774766.61100006	537936704.000000
4157063.63299942	671322.99329948	4774766.56700134	538136704.000000
4157063.75799942	671322.82729912	4774766.50900269	538336640.000000
4157063.85900116	671322.66489983	4774766.45800018	538536704.000000
4157063.93899918	671322.50659943	4774766.38400269	538736768.000000
4157064.05400085	671322.34659958	4774766.33300018	538936704.000000
4157064.14199829	671322.16729927	4774766.28199768	539136704.000000
4157064.24600220	671321.99790001	4774766.21600342	539336704.000000
4157064.31900024	671321.81620026	4774766.16500092	539536704.000000
4157064.42800140	671321.64760017	4774766.12100220	539736768.000000
4157064.51399994	671321.48279953	4774766.06999969	539936704.000000
4157064.60500336	671321.29649925	4774766.00399780	540136704.000000
4157064.69699860	671321.14760017	4774765.94499969	540336704.000000
4157064.77200317	671320.96619987	4774765.87899780	540536704.000000
4157064.84899902	671320.81480026	4774765.81999969	540736768.000000
4157064.92299652	671320.66290092	4774765.79100037	540936704.000000
4157065.00000000	671320.51160049	4774765.73200226	541136704.000000
4157065.07900238	671320.36800003	4774765.70999908	541336704.000000
4157065.13999939	671320.22150040	4774765.65100098	541536704.000000
4157065.18699646	671320.06539917	4774765.59200287	541736768.000000
4157065.23699951	671319.90959930	4774765.51799774	541936704.000000
4157065.28299713	671319.76079941	4774765.45899963	542136704.000000
4157065.33499908	671319.62779999	4774765.39199829	542336704.000000
4157065.37000275	671319.49930000	4774765.33999634	542536704.000000
4157065.42299652	671319.35149956	4774765.28900146	542736768.000000
4157065.49099731	671319.21369934	4774765.22200012	542936704.000000
4157065.54199982	671319.05809975	4774765.13400269	543136704.000000
4157065.62400055	671318.92989922	4774765.06700134	543336704.000000
4157065.70700073	671318.82419968	4774765.02400208	543536704.000000
4157065.77300262	671318.70079994	4774764.95700073	543736768.000000
4157065.86499786	671318.58919907	4774764.90599823	543936640.000000
4157065.93599701	671318.46660042	4774764.86199951	544136704.000000
4157066.02300262	671318.30929947	4774764.79599762	544336640.000000
4157066.12599945	671318.16979980	4774764.75199890	544536704.000000
4157066.20500183	671318.01869965	4774764.67900085	544736768.000000
4157066.29900360	671317.84770012	4774764.63500214	544936640.000000
4157066.36900330	671317.68779945	4774764.58399963	545136640.000000
4157066.44300079	671317.51359940	4774764.51699829	545336704.000000
4157066.52400208	671317.35560036	4774764.42900085	545536704.000000
4157066.58100128	671317.20840073	4774764.34700012	545736768.000000
4157066.63800049	671317.05389977	4774764.26599884	545936704.000000
4157066.73000336	671316.90489960	4774764.20700073	546136704.000000
4157066.81300354	671316.76939964	4774764.14099884	546336640.000000
